system_variant,system_family,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,concrete_volume,steel_volume,timber_volume,material_concrete_id,material_pt_id,material_steel_id,material_timber_id,ebc_mm,beam_ref,source
cemex_bb_155_1450_c3,cemex_bb_155_1450_c,0.155,0.1,,,2.04,1.56,2.5,4.92,0.085,0.0408,,concrete,pt,,,408,CEMEX_155_1450_C,
cemex_bb_155_1450_c4,cemex_bb_155_1450_c,0.155,0.1,,,2.04,1.56,3,4.8,0.085,0.0408,,concrete,pt,,,408,CEMEX_155_1450_C,
cemex_bb_155_1450_c5,cemex_bb_155_1450_c,0.155,0.1,,,2.04,1.56,4,4.47,0.085,0.0408,,concrete,pt,,,408,CEMEX_155_1450_C,
cemex_bb_155_1450_c6,cemex_bb_155_1450_c,0.155,0.1,,,2.04,1.56,5,4.18,0.085,0.0408,,concrete,pt,,,408,CEMEX_155_1450_C,
cemex_bb_155_1450_d1,cemex_bb_155_1450_d,0.155,0.1,,,2.27,1.56,1.5,5.684,0.09458333,0.0454,,concrete,pt,,,324,CEMEX_155_1450_D,
cemex_bb_155_1450_d2,cemex_bb_155_1450_d,0.155,0.1,,,2.27,1.56,2,5.538,0.09458333,0.0454,,concrete,pt,,,324,CEMEX_155_1450_D,
cemex_bb_155_1450_d3,cemex_bb_155_1450_d,0.155,0.1,,,2.27,1.56,2.5,5.404,0.09458333,0.0454,,concrete,pt,,,324,CEMEX_155_1450_D,
cemex_bb_155_1450_d4,cemex_bb_155_1450_d,0.155,0.1,,,2.27,1.56,3,5.28,0.09458333,0.0454,,concrete,pt,,,324,CEMEX_155_1450_D,
cemex_bb_155_1450_d5,cemex_bb_155_1450_d,0.155,0.1,,,2.27,1.56,4,4.96,0.09458333,0.0454,,concrete,pt,,,324,CEMEX_155_1450_D,
cemex_bb_155_1450_d6,cemex_bb_155_1450_d,0.155,0.1,,,2.27,1.56,5,4.644,0.09458333,0.0454,,concrete,pt,,,324,CEMEX_155_1450_D,
cemex_bb_155_1450_e1,cemex_bb_155_1450_e,0.155,0.1,,,2.72,1.56,1.5,5.9,0.11333333,0.0544,,concrete,pt,,,211,CEMEX_155_1450_E,
cemex_bb_155_1450_e2,cemex_bb_155_1450_e,0.155,0.1,,,2.72,1.56,2,5.9,0.11333333,0.0544,,concrete,pt,,,211,CEMEX_155_1450_E,
cemex_bb_155_1450_e3,cemex_bb_155_1450_e,0.155,0.1,,,2.72,1.56,2.5,5.9,0.11333333,0.0544,,concrete,pt,,,211,CEMEX_155_1450_E,
cemex_bb_155_1450_e4,cemex_bb_155_1450_e,0.155,0.1,,,2.72,1.56,3,5.9,0.11333333,0.0544,,concrete,pt,,,211,CEMEX_155_1450_E,
cemex_bb_155_1450_e5,cemex_bb_155_1450_e,0.155,0.1,,,2.72,1.56,4,5.9,0.11333333,0.0544,,concrete,pt,,,211,CEMEX_155_1450_E,
cemex_bb_155_1450_e6,cemex_bb_155_1450_e,0.155,0.1,,,2.72,1.56,5,5.63,0.11333333,0.0544,,concrete,pt,,,211,CEMEX_155_1450_E,
cemex_bb_225_1900_a1,cemex_bb_225_1900_a,0.225,0.1,,,2.82,1.56,1.5,6.408,0.1175,0.0564,,concrete,pt,,,520,CEMEX_225_1900_A,
cemex_bb_225_1900_a2,cemex_bb_225_1900_a,0.225,0.1,,,2.82,1.56,2,6.257,0.1175,0.0564,,concrete,pt,,,520,CEMEX_225_1900_A,
cemex_bb_225_1900_a3,cemex_bb_225_1900_a,0.225,0.1,,,2.82,1.56,2.5,6.117,0.1175,0.0564,,concrete,pt,,,520,CEMEX_225_1900_A,
cemex_bb_225_1900_a4,cemex_bb_225_1900_a,0.225,0.1,,,2.82,1.56,3,5.985,0.1175,0.0564,,concrete,pt,,,520,CEMEX_225_1900_A,
